,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
10,11,2334,5,1,138,1,0,139,573,70,96,4.12,0.50,0,1,0,0 3 6 X,2559471,1,"{'name': '0 3 6 X', 'clubId': 2559471, 'regionId': 5457237, 'teamId': 688, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '5636096', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160525'}}",common-gen4
11,12,2329,6,1,175,23,24,222,701,210,94,3.16,0.95,0,1,0,S M I L E,347426,1,"{'name': 'S M I L E', 'clubId': 347426, 'regionId': 5064001, 'teamId': 105035, 'customKit': {'stadName': 'Estadio José Zorrilla', 'kitId': '860446720', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160521'}}",common-gen4
12,13,2318,8,1,112,2,0,114,556,91,63,4.88,0.80,20,2,1,The Blue Bøys,3171111,2,"{'name': 'The Blue Bøys', 'clubId': 3171111, 'regionId': 4344147, 'teamId': 10, 'customKit': {'stadName': 'The Snake Pit', 'kitId': '81923', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7541', 'customAwayKitId': '7632', 'customThirdKitId': '7703', 'customKeeperKitId': '5008', 'kitColor1': '592397', 'kitColor2': '6887227', 'kitColor3': '1482375', 'kitColor4': '16774144', 'kitAColor1': '15921906', 'kitAColor2': '5775459', 'kitAColor3': '1482375', 'kitAColor4': '1482375', 'kitThrdColor1': '592397', 'kitThrdColor2': '1482375', 'kitThrdColor3': '7122142', 'kitThrdColor4': '16774144', 'dCustomKit': '0', 'crestColor': '116423', 'crestAssetId': '99161226'}}",common-gen4
13,14,2305,8,1,273,39,50,362,1144,532,105,3.16,1.47,20,2,1,try to learn,262481,1,"{'name': 'try to learn', 'clubId': 262481, 'regionId': 5064001, 'teamId': 243, 'customKit': {'stadName': 'Estadio de Mendizorroza', 'kitId': '1990659', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161101'}}",common-gen4
14,15,2304,8,1,189,12,17,218,934,323,77,4.28,1.48,20,2,1,Robos CF,820741,3,"{'name': 'Robos CF', 'clubId': 820741, 'regionId': 5457237, 'teamId': 483, 'customKit': {'stadName': 'Estadio de nivel 3', 'kitId': '3956736', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7629', 'customAwayKitId': '7629', 'customThirdKitId': '7540', 'customKeeperKitId': '5006', 'kitColor1': '858211', 'kitColor2': '1256053', 'kitColor3': '16774144', 'kitColor4': '2704542', 'kitAColor1': '2704542', 'kitAColor2': '22436', 'kitAColor3': '14935011', 'kitAColor4': '14935011', 'kitThrdColor1': '13883203', 'kitThrdColor2': '1259409', 'kitThrdColor3': '13883203', 'kitThrdColor4': '1259409', 'dCustomKit': '0', 'crestColor': '16244746', 'crestAssetId': '99160719'}}",common-gen4
15,16,2296,8,1,211,15,29,255,867,267,107,3.40,1.05,20,2,1,E N J O Y,14226,2,"{'name': 'E N J O Y', 'clubId': 14226, 'regionId': 5064001, 'teamId': 243, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '1990656', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160905'}}",common-gen4
16,17,2294,9,1,489,32,38,559,2016,463,270,3.61,0.83,20,3,1,V A L E R A,2793766,1,"{'name': 'V A L E R A', 'clubId': 2793766, 'regionId': 5064001, 'teamId': 1824, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '14942208', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160905'}}",common-gen4
17,18,2292,8,1,191,21,16,228,803,287,80,3.52,1.26,13,2,5,W i N,1654556,1,"{'name': 'W i N', 'clubId': 1654556, 'regionId': 5064001, 'teamId': 322, 'customKit': {'stadName': 'Estádio do Dragão', 'kitId': '2637825', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160713'}}",common-gen4
18,19,2290,9,1,557,80,97,734,2139,719,295,2.91,0.98,20,3,2,L A V A,13556,1,"{'name': 'L A V A', 'clubId': 13556, 'regionId': 5064001, 'teamId': 111117, 'customKit': {'stadName': '5raaa', 'kitId': '910270464', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160811'}}",common-gen4
19,20,2287,8,1,188,9,8,205,1001,347,50,4.88,1.69,20,2,1,Musulman FC,330716,2,"{'name': 'Musulman FC', 'clubId': 330716, 'regionId': 4344147, 'teamId': 9, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '73728', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161004'}}",common-gen4
