,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
30,31,2262,10,1,688,111,197,996,2943,1417,291,2.95,1.42,20,3,1,L H B,44246,1,"{'name': 'L H B', 'clubId': 44246, 'regionId': 5064001, 'teamId': 1824, 'customKit': {'stadName': 'Old Trafford', 'kitId': '14942209', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160523'}}",common-gen4
31,32,2251,9,1,349,56,100,505,1528,726,148,3.03,1.44,20,3,1,H O  2,26401,1,"{'name': 'H O  2', 'clubId': 26401, 'regionId': 5064001, 'teamId': 1, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '8195', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7703', 'customAwayKitId': '7627', 'customThirdKitId': '7627', 'customKeeperKitId': '5029', 'kitColor1': '592397', 'kitColor2': '14935011', 'kitColor3': '592397', 'kitColor4': '14935011', 'kitAColor1': '4920087', 'kitAColor2': '14277081', 'kitAColor3': '4920087', 'kitAColor4': '15921906', 'kitThrdColor1': '1482375', 'kitThrdColor2': '15921906', 'kitThrdColor3': '1482375', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '16777215', 'crestAssetId': '99060205'}}",common-gen4
32,33,2250,5,1,101,1,0,102,433,68,60,4.25,0.67,20,1,1,Arrêt du cœur,3494661,1,"{'name': 'Arrêt du cœur', 'clubId': 3494661, 'regionId': 5457237, 'teamId': 116325, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '952934400', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7704', 'customAwayKitId': '7704', 'customThirdKitId': '7704', 'customKeeperKitId': '5025', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '16774144', 'kitThrdColor2': '592397', 'kitThrdColor3': '592397', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '16777215', 'crestAssetId': '99110221'}}",common-gen4
33,34,2250,8,1,167,28,32,227,715,277,82,3.15,1.22,20,2,2,D I O R 1,2322061,1,"{'name': 'D I O R 1', 'clubId': 2322061, 'regionId': 5064001, 'teamId': 21, 'customKit': {'stadName': 'The MKM Stadium', 'kitId': '172033', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161028'}}",common-gen4
34,35,2247,8,1,240,16,24,280,1159,464,80,4.14,1.66,20,2,1,Monstruos Fc,36066,3,"{'name': 'Monstruos Fc', 'clubId': 36066, 'regionId': 5457237, 'teamId': 1362, 'customKit': {'stadName': 'La Cienaga', 'kitId': '11157504', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404225', 'selectedKitType': '1', 'customKitId': '7640', 'customAwayKitId': '7640', 'customThirdKitId': '7639', 'customKeeperKitId': '5032', 'kitColor1': '592397', 'kitColor2': '15245824', 'kitColor3': '15245824', 'kitColor4': '15245824', 'kitAColor1': '15921906', 'kitAColor2': '16687883', 'kitAColor3': '16687883', 'kitAColor4': '16687883', 'kitThrdColor1': '22436', 'kitThrdColor2': '16687883', 'kitThrdColor3': '16687883', 'kitThrdColor4': '16687883', 'dCustomKit': '0', 'crestColor': '16777215', 'crestAssetId': '99080204'}}",common-gen4
35,36,2244,8,1,318,42,69,429,1441,644,125,3.36,1.50,20,2,2,BonFC,553411,1,"{'name': 'BonFC', 'clubId': 553411, 'regionId': 4344147, 'teamId': 5, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '40960', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7633', 'customAwayKitId': '7534', 'customThirdKitId': '7616', 'customKeeperKitId': '5028', 'kitColor1': '592397', 'kitColor2': '14358546', 'kitColor3': '14935011', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '1841428', 'kitAColor3': '592397', 'kitAColor4': '15130831', 'kitThrdColor1': '1482375', 'kitThrdColor2': '1256053', 'kitThrdColor3': '15921906', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '16244746', 'crestAssetId': '99090704'}}",common-gen4
36,37,2243,8,1,188,38,87,313,874,565,61,2.79,1.81,6,2,6,WITCHER,927246,1,"{'name': 'WITCHER', 'clubId': 927246, 'regionId': 5064001, 'teamId': 13, 'customKit': {'stadName': 'ملعب الدرجة 3', 'kitId': '106496', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7703', 'customAwayKitId': '7702', 'customThirdKitId': '7852', 'customKeeperKitId': '5005', 'kitColor1': '1841428', 'kitColor2': '15921906', 'kitColor3': '4002593', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '3554112', 'kitAColor3': '592397', 'kitAColor4': '1841428', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '16777215', 'crestAssetId': '99160214'}}",common-gen4
37,38,2241,9,1,395,47,39,481,1603,441,225,3.33,0.92,20,3,1,Tactical oGs,1835081,1,"{'name': 'Tactical oGs', 'clubId': 1835081, 'regionId': 4543827, 'teamId': 32, 'customKit': {'stadName': 'Gtech Community Stadium', 'kitId': '262144', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160315'}}",common-gen4
38,39,2239,8,1,223,33,69,325,1180,723,49,3.63,2.22,20,2,1,FOR FUN FC,814496,5,"{'name': 'FOR FUN FC', 'clubId': 814496, 'regionId': 5064001, 'teamId': 73, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '598016', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160826'}}",common-gen4
39,40,2238,5,1,90,3,3,96,431,85,48,4.49,0.89,10,1,1,Joga Bonito,3822766,1,"{'name': 'Joga Bonito', 'clubId': 3822766, 'regionId': 4344147, 'teamId': 18, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '147456', 'customKitId': '7509', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'customAwayKitId': '7509', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'customThirdKitId': '7511', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'customKeeperKitId': '5005', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160213', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0'}}",common-gen4
40,41,2238,8,1,221,16,27,264,907,313,100,3.44,1.19,20,2,1,gäyhMehrtens E,167726,3,"{'name': 'gäyhMehrtens E', 'clubId': 167726, 'regionId': 4539733, 'teamId': 21, 'customKit': {'stadName': 'Stufe-3-Stadion', 'kitId': '172032', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7616', 'customAwayKitId': '7623', 'customThirdKitId': '7703', 'customKeeperKitId': '5028', 'kitColor1': '4133724', 'kitColor2': '16774144', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '14358546', 'kitThrdColor2': '4920087', 'kitThrdColor3': '4002593', 'kitThrdColor4': '2164288', 'dCustomKit': '1', 'crestColor': '-1', 'crestAssetId': '99150809'}}",common-gen4
41,42,2235,8,1,183,8,12,203,916,221,87,4.51,1.09,20,2,2,J U S T I C E,2457836,2,"{'name': 'J U S T I C E', 'clubId': 2457836, 'regionId': 5064001, 'teamId': 1824, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '14942209', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160911'}}",common-gen4
42,43,2235,8,1,220,36,45,301,973,380,111,3.23,1.26,20,2,2,L A W,210071,1,"{'name': 'L A W', 'clubId': 210071, 'regionId': 5064001, 'teamId': 10, 'customKit': {'stadName': 'ملعب الدرجة 2', 'kitId': '81923', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160508'}}",common-gen4
43,44,2234,8,1,129,9,16,154,587,204,56,3.81,1.32,20,2,2,Pudsey Bears,1814026,1,"{'name': 'Pudsey Bears', 'clubId': 1814026, 'regionId': 4344147, 'teamId': 8, 'customKit': {'stadName': 'Elland Road', 'kitId': '65536', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160928'}}",common-gen4
44,45,2234,5,1,100,1,1,102,461,58,62,4.52,0.57,6,1,6,Cøld as Ice,1759931,1,"{'name': 'Cøld as Ice', 'clubId': 1759931, 'regionId': 5719381, 'teamId': 263, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '2154497', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404226', 'selectedKitType': '0', 'customKitId': '7541', 'customAwayKitId': '7632', 'customThirdKitId': '7703', 'customKeeperKitId': '5000', 'kitColor1': '592397', 'kitColor2': '6887227', 'kitColor3': '1482375', 'kitColor4': '16774144', 'kitAColor1': '15921906', 'kitAColor2': '6887227', 'kitAColor3': '7122142', 'kitAColor4': '1482375', 'kitThrdColor1': '5775459', 'kitThrdColor2': '1482375', 'kitThrdColor3': '7122142', 'kitThrdColor4': '16774144', 'dCustomKit': '0', 'crestColor': '116423', 'crestAssetId': '99161226'}}",common-gen4
45,46,2234,7,1,162,9,20,191,723,255,57,3.79,1.34,20,2,1,Second Half FC,1339411,5,"{'name': 'Second Half FC', 'clubId': 1339411, 'regionId': 5129557, 'teamId': 11, 'customKit': {'stadName': 'Gamla Ullevi', 'kitId': '90112', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7543', 'customAwayKitId': '7517', 'customThirdKitId': '7543', 'customKeeperKitId': '5007', 'kitColor1': '22436', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '22436', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '4920087', 'kitThrdColor2': '14655653', 'kitThrdColor3': '592397', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '1987272', 'crestAssetId': '99160405'}}",common-gen4
46,47,2234,5,1,154,21,39,214,699,354,52,3.27,1.65,20,1,1,SKRRRT FC,13011,1,"{'name': 'SKRRRT FC', 'clubId': 13011, 'regionId': 4344147, 'teamId': 18, 'customKit': {'stadName': 'DAN DRAKES MUM', 'kitId': '147456', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7853', 'customAwayKitId': '7853', 'customThirdKitId': '7853', 'customKeeperKitId': '5016', 'kitColor1': '592397', 'kitColor2': '6316643', 'kitColor3': '16687883', 'kitColor4': '16687883', 'kitAColor1': '15921906', 'kitAColor2': '10066329', 'kitAColor3': '15245824', 'kitAColor4': '1841428', 'kitThrdColor1': '16687883', 'kitThrdColor2': '9838384', 'kitThrdColor3': '15921906', 'kitThrdColor4': '9838384', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160127'}}",common-gen4
47,48,2232,8,1,321,34,37,392,1384,505,141,3.53,1.29,20,2,2,R 3 B,14126,1,"{'name': 'R 3 B', 'clubId': 14126, 'regionId': 5064001, 'teamId': 481, 'customKit': {'stadName': 'ملعب الدرجة 3', 'kitId': '3940355', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7543', 'customAwayKitId': '7702', 'customThirdKitId': '7627', 'customKeeperKitId': '5012', 'kitColor1': '592397', 'kitColor2': '22436', 'kitColor3': '22436', 'kitColor4': '16687883', 'kitAColor1': '16774144', 'kitAColor2': '15245824', 'kitAColor3': '8654629', 'kitAColor4': '1256053', 'kitThrdColor1': '15921906', 'kitThrdColor2': '592397', 'kitThrdColor3': '592397', 'kitThrdColor4': '592397', 'dCustomKit': '1', 'crestColor': '13179675', 'crestAssetId': '99160502'}}",common-gen4
48,49,2231,7,1,110,4,12,126,460,147,52,3.65,1.17,15,2,1,M A F I A,1052511,1,"{'name': 'M A F I A', 'clubId': 1052511, 'regionId': 5064001, 'teamId': 47, 'customKit': {'stadName': 'Cardiff City Stadium', 'kitId': '385024', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160626'}}",common-gen4
49,50,2230,6,1,136,6,8,150,523,126,81,3.49,0.84,5,1,6,J E S S E,2504791,2,"{'name': 'J E S S E', 'clubId': 2504791, 'regionId': 5064001, 'teamId': 116302, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '952745985', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160823'}}",common-gen4
50,51,2228,9,1,349,61,72,482,1470,642,170,3.05,1.33,20,3,2,Kosmo Dons,1679701,1,"{'name': 'Kosmo Dons', 'clubId': 1679701, 'regionId': 4344147, 'teamId': 45, 'customKit': {'stadName': 'Bramhall Lane', 'kitId': '368643', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7600', 'customAwayKitId': '7526', 'customThirdKitId': '7670', 'customKeeperKitId': '5022', 'kitColor1': '14655653', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '4133724', 'kitAColor3': '15245824', 'kitAColor4': '15245824', 'kitThrdColor1': '14935011', 'kitThrdColor2': '4002593', 'kitThrdColor3': '4002593', 'kitThrdColor4': '4002593', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160118'}}",common-gen4
51,52,2228,8,1,227,54,61,342,1129,625,87,3.30,1.83,9,2,6,A D 3 O L O,338831,1,"{'name': 'A D 3 O L O', 'clubId': 338831, 'regionId': 5064001, 'teamId': 116302, 'customKit': {'stadName': 'A D 3 O L O', 'kitId': '952745984', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7543', 'customAwayKitId': '7543', 'customThirdKitId': '7603', 'customKeeperKitId': '5032', 'kitColor1': '16774144', 'kitColor2': '592397', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '22436', 'kitAColor2': '15921906', 'kitAColor3': '22436', 'kitAColor4': '22436', 'kitThrdColor1': '14358546', 'kitThrdColor2': '592397', 'kitThrdColor3': '592397', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160122'}}",common-gen4
52,53,2226,7,1,301,14,16,331,1303,344,143,3.94,1.04,0,2,0,4k Fútbol,751426,2,"{'name': '4k Fútbol', 'clubId': 751426, 'regionId': 4344147, 'teamId': 605, 'customKit': {'stadName': 'Allianz Stadium', 'kitId': '4956160', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7521', 'customAwayKitId': '7534', 'customThirdKitId': '7524', 'customKeeperKitId': '5028', 'kitColor1': '1841428', 'kitColor2': '12762028', 'kitColor3': '12762028', 'kitColor4': '15921906', 'kitAColor1': '858211', 'kitAColor2': '7122142', 'kitAColor3': '7122142', 'kitAColor4': '15921906', 'kitThrdColor1': '14655653', 'kitThrdColor2': '11319490', 'kitThrdColor3': '592397', 'kitThrdColor4': '592397', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160123'}}",common-gen4
53,54,2224,9,1,401,40,75,516,1689,661,183,3.27,1.28,20,3,2,E R T Y,2238531,1,"{'name': 'E R T Y', 'clubId': 2238531, 'regionId': 5064001, 'teamId': 74, 'customKit': {'stadName': 'E R T Y', 'kitId': '606211', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7854', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '1713203', 'kitColor2': '1841428', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99080104'}}",common-gen4
54,55,2223,8,1,213,32,28,273,1015,340,107,3.72,1.25,20,2,2,U L T R A,14571,2,"{'name': 'U L T R A', 'clubId': 14571, 'regionId': 5064001, 'teamId': 1843, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '15097856', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7521', 'customAwayKitId': '7854', 'customThirdKitId': '7537', 'customKeeperKitId': '5001', 'kitColor1': '4133724', 'kitColor2': '11319490', 'kitColor3': '15921906', 'kitColor4': '11319490', 'kitAColor1': '858211', 'kitAColor2': '11319490', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '2704542', 'kitThrdColor2': '11319490', 'kitThrdColor3': '11319490', 'kitThrdColor4': '2704542', 'dCustomKit': '0', 'crestColor': '9127890', 'crestAssetId': '99060931'}}",common-gen4
55,56,2222,6,1,123,24,24,171,582,215,55,3.40,1.26,0,1,0,5677virraareal,3899821,1,"{'name': '5677virraareal', 'clubId': 3899821, 'regionId': 5457237, 'teamId': 241, 'customKit': {'stadName': 'Estadio de nivel 1', 'kitId': '1974272', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160812'}}",common-gen4
56,57,2222,8,1,197,28,42,267,810,297,98,3.03,1.11,20,2,3,B R 2 T V A,1933701,2,"{'name': 'B R 2 T V A', 'clubId': 1933701, 'regionId': 5064001, 'teamId': 110176, 'customKit': {'stadName': 'B R 2 T V A', 'kitId': '902561793', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '8654629', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160822'}}",common-gen4
57,58,2218,6,1,214,21,17,252,931,236,112,3.69,0.94,10,1,5,S  P  Y,1634956,1,"{'name': 'S  P  Y', 'clubId': 1634956, 'regionId': 5064001, 'teamId': 111811, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '915955715', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160415'}}",common-gen4
58,59,2218,8,1,220,38,50,308,1158,610,53,3.76,1.98,20,2,2,B 3  O,36931,2,"{'name': 'B 3  O', 'clubId': 36931, 'regionId': 5064001, 'teamId': 47, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '385027', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160104'}}",common-gen4
59,60,2217,8,1,153,13,21,187,624,209,71,3.34,1.12,20,2,2,Geeked FC,855801,2,"{'name': 'Geeked FC', 'clubId': 855801, 'regionId': 4543827, 'teamId': 5, 'customKit': {'stadName': 'Estadio Presidente Perón', 'kitId': '40960', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '1', 'customKitId': '7648', 'customAwayKitId': '7524', 'customThirdKitId': '7641', 'customKeeperKitId': '5002', 'kitColor1': '1259409', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '1259409', 'kitAColor3': '1259409', 'kitAColor4': '1259409', 'kitThrdColor1': '592397', 'kitThrdColor2': '15921906', 'kitThrdColor3': '1259409', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '1987272', 'crestAssetId': '99160411'}}",common-gen4
60,61,2217,8,1,220,36,60,316,1045,565,75,3.31,1.79,20,2,4,LOSLOBOS,504041,1,"{'name': 'LOSLOBOS', 'clubId': 504041, 'regionId': 5457237, 'teamId': 241, 'customKit': {'stadName': 'Estadio de nivel 3', 'kitId': '1974272', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7640', 'customAwayKitId': '7543', 'customThirdKitId': '7637', 'customKeeperKitId': '5016', 'kitColor1': '7192366', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '7192366', 'kitAColor2': '592397', 'kitAColor3': '7192366', 'kitAColor4': '7192366', 'kitThrdColor1': '15921906', 'kitThrdColor2': '7192366', 'kitThrdColor3': '592397', 'kitThrdColor4': '7192366', 'dCustomKit': '0', 'crestColor': '1611589', 'crestAssetId': '99150607'}}",common-gen4
